,true,1,2,3,4,5,min3,min4,min5,accuracy_mean_over_folds,accuracy_std_over_folds,boot_acc_mean_over_folds,boot_mean_accs_of_folds,boot_quantile_lower_acc_of_folds,boot_quantile_upper_acc_of_folds,boot_accuracy_std_of_folds
CW_c_beh_db_MTBERT,100.0,87.78195488721805,87.21804511278195,87.79641411220359,88.05668016194332,88.5482938114517,88.37478311162522,85.9600925390399,81.86813186813187,87.88027761711972,0.4828601842623884,87.86767959594727,"[87.7686083316803, 87.20844388008118, 87.78942823410034, 88.0537211894989, 88.51819634437561]","[86.94113159179688, 86.37712860107422, 87.02727508544922, 87.2850112915039, 87.68984985351562]","[88.54264831542969, 87.99628448486328, 88.67597961425781, 88.88038635253906, 89.27555084228516]","[0.39377943612635136, 0.4140246193856001, 0.4096142016351223, 0.4035226069390774, 0.40176459588110447]"
CW_d_sit_aa_LOGR,100.0,97.62868710237132,97.49855407750144,97.61422787738577,97.59976865240023,97.58530942741469,97.64314632735686,97.45517640254482,96.96356275303644,97.5853094274147,0.05112108018989291,97.5842547416687,"[97.62529730796814, 97.4954605102539, 97.61444926261902, 97.60016798973083, 97.5858986377716]","[97.24441528320312, 97.14637756347656, 97.25153350830078, 97.219482421875, 97.19944763183594]","[97.95497131347656, 97.8499526977539, 97.9503173828125, 97.94465637207031, 97.9069595336914]","[0.19135441398248076, 0.18854978261515498, 0.1883332966826856, 0.19428394734859467, 0.19056362798437476]"
CW_d_sit_ba_CNN,100.0,97.25274725274726,97.4840948525159,97.75882012724118,97.62868710237132,97.70098322729902,97.58530942741469,97.12261422787739,96.08155002891846,97.56506651243494,0.2025840108298835,97.57239699363708,"[97.26237058639526, 97.48685956001282, 97.7664589881897, 97.63517379760742, 97.71112203598022]","[96.83552551269531, 97.107421875, 97.38021850585938, 97.28221893310547, 97.35204315185547]","[97.63349151611328, 97.88676452636719, 98.09584045410156, 98.00984191894531, 98.04312896728516]","[0.20699831657111645, 0.1933129271492362, 0.1835300587117672, 0.19076070748269558, 0.17845421098172665]"
CW_d_sit_bb_MTCNN_2,100.0,97.4117987275882,97.20936957779062,97.31058415268942,97.45517640254482,97.2672064777328,97.54193175245807,96.93464430306535,95.5320994794679,97.33082706766916,0.10152394263471479,97.33545660972595,"[97.41513133049011, 97.20326662063599, 97.32285737991333, 97.46452569961548, 97.27150201797485]","[97.02418518066406, 96.81890106201172, 96.94876861572266, 97.12201690673828, 96.85084533691406]","[97.87671661376953, 97.55784606933594, 97.71099090576172, 97.82679748535156, 97.62727355957031]","[0.19909536931663752, 0.1940988819114864, 0.19245289731770754, 0.18538773292675614, 0.21030413918197155]"
CW_d_sit_bb_MTCNN_3,100.0,97.15153267784846,96.99248120300751,97.16599190283401,97.36842105263158,97.06477732793523,97.35396182764605,96.48640832851359,95.2862926547137,97.14864083285137,0.14144935918329038,97.15141773223877,"[97.15583324432373, 96.98644876480103, 97.1666157245636, 97.37666845321655, 97.07152247428894]","[96.7544174194336, 96.57889556884766, 96.77526092529297, 96.9782943725586, 96.67974090576172]","[97.5664291381836, 97.38526153564453, 97.52901458740234, 97.68582153320312, 97.4490966796875]","[0.2068868838250637, 0.21102430764585733, 0.19662221893668175, 0.18574579153209925, 0.19884929060935974]"
CW_d_sit_ca_HISAN,100.0,97.7299016772701,97.77327935222672,97.75882012724118,97.54193175245807,97.54193175245807,97.93233082706767,97.15153267784846,95.98033545401967,97.66917293233084,0.11720002388177918,97.67353534698486,"[97.72894382476807, 97.77024388313293, 97.7669358253479, 97.54939675331116, 97.55215644836426]","[97.36202239990234, 97.41512298583984, 97.38162994384766, 97.15591430664062, 97.1897201538086]","[98.06552124023438, 98.08808135986328, 98.10018920898438, 97.92729187011719, 97.91239166259766]","[0.18696319311857224, 0.1785113592632115, 0.185845117084682, 0.1922624884173274, 0.18967428477481008]"
CW_d_sit_cb_MTHISAN_2,100.0,97.64314632735686,97.55639097744361,97.57085020242914,97.55639097744361,97.54193175245807,97.8744939271255,97.18045112781954,95.48872180451127,97.57374204742626,0.04012272101073515,97.5764274597168,"[97.6438581943512, 97.56020903587341, 97.57717847824097, 97.55505323410034, 97.54583835601807]","[97.2610092163086, 97.19959259033203, 97.17456817626953, 97.17308044433594, 97.13912963867188]","[97.95751190185547, 97.90626525878906, 97.9181137084961, 97.94014739990234, 97.9112777709961]","[0.1853562076576054, 0.19008725648745894, 0.18669720739126205, 0.1895861467346549, 0.19791226368397474]"
CW_d_sit_cb_MTHISAN_3,100.0,97.83111625216888,97.61422787738577,97.61422787738577,97.61422787738577,97.75882012724118,97.97570850202429,97.31058415268942,95.67669172932331,97.68652400231346,0.10224216037977779,97.68751382827759,"[97.83596992492676, 97.61699438095093, 97.61404395103455, 97.60910868644714, 97.76145219802856]","[97.46685791015625, 97.25792694091797, 97.25472259521484, 97.18700408935547, 97.41869354248047]","[98.15074920654297, 97.99435424804688, 97.96574401855469, 97.95748901367188, 98.0899429321289]","[0.1745840534567833, 0.18814592622220516, 0.18178639002144337, 0.19393846159800887, 0.1761754392646253]"
CW_d_sit_da_BERT,100.0,97.74436090225564,98.23597455176403,98.16367842683633,98.14921920185078,98.23597455176403,98.23597455176403,97.83111625216888,96.7755928282244,98.10584152689417,0.20601224477697014,98.1131362915039,"[97.74882197380066, 98.24328422546387, 98.16292524337769, 98.16556572914124, 98.24508428573608]","[97.34285736083984, 97.88931274414062, 97.77720642089844, 97.83421325683594, 97.92527770996094]","[98.09965515136719, 98.56839752197266, 98.47270965576172, 98.49909973144531, 98.55889892578125]","[0.1757053891196847, 0.16578148351982236, 0.17038650112226605, 0.16980250366032124, 0.1567030092701316]"
CW_d_sit_db_MTBERT_2,100.0,98.048004626952,98.03354540196646,97.99016772700983,98.33718912666282,98.06246385193754,98.14921920185078,97.84557547715443,96.83342972816658,98.09427414690572,0.13846170757518114,98.09325695037842,"[98.05172681808472, 98.02969098091125, 97.9898452758789, 98.33317995071411, 98.0618417263031]","[97.66152954101562, 97.65274810791016, 97.64688110351562, 97.9959487915039, 97.7074966430664]","[98.37677001953125, 98.38511657714844, 98.30516052246094, 98.6656723022461, 98.41203308105469]","[0.17286221263930202, 0.1801685313694179, 0.17422102391719818, 0.16069646226242185, 0.1732455682940781]"
CW_d_sit_db_MTBERT_3,100.0,98.07692307692307,98.07692307692307,98.25043377674957,97.99016772700983,98.03354540196646,98.09138230190861,97.74436090225564,96.86234817813765,98.08559861191439,0.0989163179669605,98.08688163757324,"[98.0747401714325, 98.07797074317932, 98.2503890991211, 97.99234867095947, 98.03895950317383]","[97.73074340820312, 97.75574493408203, 97.9676284790039, 97.67235565185547, 97.68280029296875]","[98.39335632324219, 98.43296813964844, 98.54041290283203, 98.30699920654297, 98.37161254882812]","[0.1670677331276238, 0.16628773882985115, 0.14984325971454382, 0.16931429272517562, 0.17167008481919765]"
a_mor_aa_LOGR,100.0,77.13996529786003,76.70618854829381,77.08212839791787,76.89415847310585,76.92307692307693,77.29901677270098,75.33256217466744,72.22382880277617,76.94910352805088,0.17090045479574592,76.94935441017151,"[77.14938521385193, 76.7080307006836, 77.07580924034119, 76.88876390457153, 76.9247829914093]","[76.1170654296875, 75.74860382080078, 76.02946472167969, 75.87733459472656, 75.92687225341797]","[78.17508697509766, 77.78439331054688, 78.12017822265625, 77.94340515136719, 77.943115234375]","[0.5237584002315998, 0.5399654619395733, 0.5358070600777864, 0.5269884131848812, 0.5197804421186447]"
