,true,1,2,3,4,5,min3,min4,min5,fmacro_mean_over_folds,fmacro_std_over_folds,boot_fmac_mean_over_folds,boot_mean_fmacs_of_folds,boot_quantile_lower_fmac_of_folds,boot_quantile_upper_fmac_of_folds,boot_fmac_std_of_folds,n_true_classes_in_folds,n_unique_classes_in_folds
CW_d_sit_db_MTBERT_2,100.0,96.78,96.57,96.3,97.37,96.79,97.02,96.92,96.03,96.76,0.39,96.74,"[96.78137302398682, 96.54189944267273, 96.27460837364197, 97.35363721847534, 96.77250385284424]","[95.98576354980469, 95.84728240966797, 95.55175018310547, 96.74779510498047, 96.03927612304688]","[97.40205383300781, 97.26862335205078, 96.99847412109375, 97.89122009277344, 97.39849853515625]","[0.35527932923287153, 0.3811911679804325, 0.3705559065565467, 0.3129691584035754, 0.36614276468753815]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
CW_d_sit_db_MTBERT_3,100.0,96.77,96.84,97.22,96.64,96.45,96.87,96.91,96.25,96.78,0.29,96.77,"[96.75709009170532, 96.80830836296082, 97.20386862754822, 96.64305448532104, 96.42640352249146]","[96.02845764160156, 96.06484985351562, 96.56217956542969, 95.9847640991211, 95.64069366455078]","[97.40328216552734, 97.53036499023438, 97.77214050292969, 97.29718017578125, 97.09941101074219]","[0.3458495484665036, 0.36048346664756536, 0.3269882407039404, 0.34558926708996296, 0.37422841414809227]",4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]"
a_mor_aa_LOGR,100.0,51.15,50.14,50.89,50.26,50.63,51.03,49.79,47.23,50.61,0.42,50.54,"[51.073336601257324, 50.11948347091675, 50.802165269851685, 50.162798166275024, 50.52814483642578]","[49.57966995239258, 48.339847564697266, 49.11201477050781, 48.610572814941406, 49.163394927978516]","[52.65419387817383, 51.56462097167969, 52.38248062133789, 51.927791595458984, 52.068763732910156]","[0.8102077059447765, 0.804365798830986, 0.8063734509050846, 0.8387432433664799, 0.8246537297964096]",16.0,"[16.0, 15.0, 16.0, 15.0, 16.0]"
a_mor_ba_CNN,100.0,56.0,54.85,54.5,56.57,57.3,56.87,54.5,50.59,55.85,1.17,55.77,"[55.995458364486694, 54.76136803627014, 54.40378189086914, 56.44197463989258, 57.23682641983032]","[54.30306625366211, 52.905826568603516, 52.9576530456543, 54.62327575683594, 55.54962158203125]","[57.58988952636719, 56.64703369140625, 55.8336181640625, 57.97106170654297, 58.880950927734375]","[0.8107604458928108, 0.9241865947842598, 0.789725873619318, 0.8716865442693233, 0.8877839893102646]",16.0,"[15.0, 14.0, 14.0, 15.0, 15.0]"
a_mor_bb_MTCNN,100.0,54.95,55.02,53.43,54.56,56.89,55.26,53.37,50.6,54.97,1.25,54.92,"[54.90253567695618, 54.94303107261658, 53.390735387802124, 54.46814298629761, 56.883347034454346]","[53.35722732543945, 53.359066009521484, 51.896095275878906, 52.79792022705078, 55.16332244873047]","[56.32481002807617, 56.56383514404297, 54.85918045043945, 56.26469421386719, 58.890892028808594]","[0.7644955534487963, 0.8032758720219135, 0.7147424854338169, 0.8669676259160042, 0.9214404970407486]",16.0,"[15.0, 13.0, 14.0, 14.0, 15.0]"
a_mor_ca_HISAN,100.0,58.36,55.31,56.58,55.84,56.43,57.35,54.62,48.99,56.5,1.16,56.41,"[58.265841007232666, 55.26822805404663, 56.54018521308899, 55.68963885307312, 56.27552270889282]","[56.44633865356445, 53.62546920776367, 54.93794631958008, 53.63557815551758, 54.467498779296875]","[60.01364517211914, 56.83882141113281, 58.096187591552734, 57.41284942626953, 57.839298248291016]","[0.9518682956695557, 0.8549531921744347, 0.7909067906439304, 0.9160331450402737, 0.8943572640419006]",16.0,"[15.0, 14.0, 15.0, 14.0, 15.0]"
a_mor_cb_MTHISAN,100.0,53.95,57.41,55.41,56.03,58.67,56.87,54.61,49.9,56.3,1.82,56.23,"[53.84518504142761, 57.34691023826599, 55.39461970329285, 55.9363067150116, 58.63890051841736]","[52.0322151184082, 55.71771240234375, 53.7889289855957, 54.07443618774414, 56.83297348022461]","[55.845130920410156, 59.170074462890625, 56.74519348144531, 57.772945404052734, 60.49676513671875]","[0.9275640361011028, 0.8498603478074074, 0.7579174358397722, 0.935687031596899, 0.9761473163962364]",16.0,"[15.0, 16.0, 15.0, 14.0, 15.0]"
a_mor_da_BERT,100.0,59.01,59.21,59.34,58.74,58.67,59.67,59.0,57.44,58.99,0.29,58.97,"[58.990150690078735, 59.160566329956055, 59.32050347328186, 58.731335401535034, 58.65130424499512]","[57.96837615966797, 57.888912200927734, 58.297813415527344, 57.5692253112793, 57.35054016113281]","[60.11068344116211, 60.26640701293945, 60.4259033203125, 59.87298583984375, 59.84724807739258]","[0.5723815411329269, 0.5966257303953171, 0.5789823364466429, 0.5768544040620327, 0.6342288106679916]",16.0,"[13.0, 13.0, 13.0, 13.0, 13.0]"
a_mor_db_MTBERT,100.0,54.27,56.53,58.67,60.06,58.32,58.72,56.24,52.55,57.57,2.23,57.51,"[54.2549192905426, 56.47318363189697, 58.58508348464966, 59.97859239578247, 58.247750997543335]","[52.773494720458984, 54.87662124633789, 57.0338134765625, 58.41084671020508, 56.876953125]","[55.60980987548828, 58.05973434448242, 59.98121643066406, 61.337913513183594, 59.54998779296875]","[0.7247835863381624, 0.8107436820864677, 0.7951357401907444, 0.7687305100262165, 0.6795311346650124]",16.0,"[12.0, 14.0, 14.0, 14.0, 13.0]"
b_his_aa_LOGR,100.0,57.12,55.79,56.59,55.52,56.71,56.52,55.58,52.33,56.35,0.67,56.24,"[57.03014135360718, 55.761897563934326, 56.4547598361969, 55.39867877960205, 56.54610991477966]","[55.20281219482422, 53.85885238647461, 54.60594940185547, 53.73622131347656, 54.8438720703125]","[59.02088165283203, 57.32122802734375, 58.29855728149414, 57.415992736816406, 58.31904602050781]","[0.9721065871417522, 0.9071024134755135, 0.926589872688055, 0.9494433179497719, 0.956470612436533]",13.0,"[13.0, 13.0, 13.0, 12.0, 13.0]"
